功能点ID,切片1,切片2,切片3,切片4,切片5,切片6,切片7,切片8,最终覆盖
F1.1,✅ 100%,-,-,-,-,-,-,-,✅ 100%
F1.2,⚠️ 60%,-,-,-,-,-,-,-,⚠️ 60%
F1.3,-,-,✅ 100%,-,-,-,-,-,✅ 100%
F1.4,-,-,-,-,-,✅ 100%,-,-,✅ 100%
F1.5,✅ 100%,-,-,-,-,-,-,-,✅ 100%
F1.6,⚠️ 80%,-,-,-,-,✅ 100%,-,-,✅ 100%
F2.1,-,✅ 100%,-,-,-,-,-,-,✅ 100%
F2.2,-,⚠️ 80%,-,✅ 100%,-,-,-,-,✅ 100%
F2.3,-,⚠️ 60%,-,⚠️ 80%,-,✅ 100%,-,-,✅ 100%
F2.4,-,✅ 100%,-,-,-,-,-,-,✅ 100%
F2.5,-,-,-,-,-,✅ 100%,-,-,✅ 100%
F3.1,-,✅ 100%,-,-,-,-,-,-,✅ 100%
F3.2,-,✅ 100%,-,-,-,-,-,-,✅ 100%
F3.3,-,-,-,-,✅ 100%,-,-,-,✅ 100%
F3.4,-,✅ 100%,-,-,-,-,-,-,✅ 100%
F3.5,-,⚠️ 60%,-,✅ 100%,-,-,-,-,✅ 100%
F3.6,-,-,-,✅ 100%,-,-,-,-,✅ 100%
F3.7,-,✅ 100%,-,-,-,-,-,-,✅ 100%
F4.1,-,-,✅ 100%,-,-,-,-,-,✅ 100%
F4.2,-,-,✅ 100%,-,-,-,-,-,✅ 100%
F4.3,-,-,✅ 100%,-,-,-,-,-,✅ 100%
F4.4,-,-,✅ 100%,-,-,-,-,-,✅ 100%
F4.5,-,-,⚠️ 80%,-,✅ 100%,-,-,-,✅ 100%
F4.6,-,-,✅ 100%,-,-,-,-,-,✅ 100%
F4.7,-,-,✅ 100%,-,-,-,-,-,✅ 100%
F4.8,-,-,✅ 100%,-,-,-,-,-,✅ 100%
F5.1,⚠️ 60%,-,-,-,-,-,-,-,⚠️ 60%
F5.2,⚠️ 60%,-,-,-,-,-,✅ 100%,-,✅ 100%
F5.3,-,⚠️ 80%,-,-,-,-,-,-,⚠️ 80%
F5.4,-,-,-,-,-,-,✅ 100%,-,✅ 100%
F6.1,-,-,-,-,✅ 100%,-,-,-,✅ 100%
F6.2,-,-,-,-,✅ 100%,-,-,-,✅ 100%
F6.3,-,-,-,-,-,✅ 100%,-,-,✅ 100%
F6.4,-,-,-,-,-,✅ 100%,-,-,✅ 100%
F6.5,-,-,-,-,✅ 100%,-,-,-,✅ 100%
F6.6,-,-,-,-,-,✅ 100%,-,-,✅ 100%
F6.7,-,-,-,-,-,-,✅ 100%,-,✅ 100%
F7.1,-,-,-,-,✅ 100%,-,-,-,✅ 100%
F7.2,-,-,-,-,✅ 100%,-,-,-,✅ 100%
F7.3,-,-,-,-,✅ 100%,-,-,-,✅ 100%
F7.4,-,-,-,-,✅ 100%,-,-,-,✅ 100%
F7.5,-,-,-,-,✅ 100%,-,-,-,✅ 100%
F7.6,-,-,-,-,✅ 100%,-,-,-,✅ 100%
F8.1,-,-,-,-,-,✅ 100%,-,-,✅ 100%
F8.2,-,-,-,-,-,✅ 100%,-,-,✅ 100%
F8.3,-,-,-,-,-,✅ 100%,-,-,✅ 100%
F8.4,-,-,-,-,-,✅ 100%,-,-,✅ 100%
F8.5,-,-,-,-,-,✅ 100%,-,-,✅ 100%
F8.6,-,-,-,-,-,✅ 100%,-,-,✅ 100%
F9.1,-,-,-,-,-,-,✅ 100%,-,✅ 100%
F9.2,-,-,-,-,-,-,✅ 100%,-,✅ 100%
F9.3,-,-,-,-,-,-,✅ 100%,-,✅ 100%
F9.4,-,-,-,-,-,-,✅ 100%,-,✅ 100%
F9.5,-,-,-,-,-,-,✅ 100%,-,✅ 100%
F9.6,-,-,-,-,-,-,✅ 100%,-,✅ 100%
F9.7,-,-,-,-,-,-,✅ 100%,-,✅ 100%
F9.8,-,-,-,-,-,-,✅ 100%,-,✅ 100%
F10.1,-,-,-,-,-,-,-,✅ 100%,✅ 100%
F10.2,-,-,-,-,-,-,-,✅ 100%,✅ 100%
F10.3,-,-,-,-,-,-,-,✅ 100%,✅ 100%
F10.4,-,-,-,-,-,-,-,✅ 100%,✅ 100%
F10.5,-,-,-,-,-,-,-,✅ 100%,✅ 100%
F10.6,-,-,-,-,-,-,-,✅ 100%,✅ 100%
NFR1.1,✅ 100%,-,-,-,-,-,-,-,✅ 100%
NFR1.2,-,-,-,-,✅ 100%,-,-,-,✅ 100%
NFR1.3,-,-,-,-,-,-,✅ 100%,-,✅ 100%
NFR2.1,✅ 100%,-,-,-,-,-,-,-,✅ 100%
NFR2.2,-,-,-,-,✅ 100%,-,-,-,✅ 100%
NFR2.3,-,-,-,-,-,✅ 100%,-,-,✅ 100%
NFR2.4,-,-,✅ 100%,-,-,-,-,-,✅ 100%
NFR3.1,✅ 100%,-,-,-,-,-,-,-,✅ 100%
NFR3.2,-,✅ 100%,-,-,-,-,-,-,✅ 100%
NFR3.3,-,-,-,-,-,-,-,✅ 100%,✅ 100%
NFR4.1,-,-,✅ 100%,-,-,-,-,-,✅ 100%
NFR4.2,-,-,-,-,-,-,-,✅ 100%,✅ 100%
NFR4.3,-,-,-,-,-,-,-,✅ 100%,✅ 100%
NFR5.1,-,-,✅ 100%,-,-,-,-,-,✅ 100%
NFR5.2,-,-,-,-,-,-,✅ 100%,-,✅ 100%
